id,week_start,week_end,week_int_start,week_int_end
44,2020-01-12,2020-01-25,2020-01-26,2020-02-01
45,2020-01-26,2020-02-08,2020-02-09,2020-02-15
46,2020-02-09,2020-02-22,2020-02-23,2020-02-29
47,2020-02-23,2020-03-07,2020-03-08,2020-03-14
48,2020-03-08,2020-03-21,2020-03-22,2020-03-28
49,2020-03-22,2020-04-04,2020-04-05,2020-04-11
50,2020-04-05,2020-04-18,2020-04-19,2020-04-25
51,2020-04-19,2020-05-02,2020-05-03,2020-05-09
52,2020-05-03,2020-05-16,2020-05-17,2020-05-23
53,2020-05-17,2020-05-30,2020-05-31,2020-06-06
54,2020-05-31,2020-06-13,2020-06-14,2020-06-20
55,2020-06-14,2020-06-27,2020-06-28,2020-07-04
56,2020-06-28,2020-07-11,2020-07-12,2020-07-18
57,2020-07-12,2020-07-25,2020-07-26,2020-08-01
58,2020-07-26,2020-08-08,2020-08-09,2020-08-15
59,2020-08-09,2020-08-22,2020-08-23,2020-08-29
60,2020-08-23,2020-09-05,2020-09-06,2020-09-12
61,2020-09-06,2020-09-19,2020-09-20,2020-09-26
62,2020-09-20,2020-10-03,2020-10-04,2020-10-10
63,2020-10-04,2020-10-17,2020-10-18,2020-10-24
64,2020-10-18,2020-10-31,2020-11-01,2020-11-07
65,2020-11-01,2020-11-14,2020-11-15,2020-11-21
66,2020-11-15,2020-11-28,2020-11-29,2020-12-05
67,2020-11-29,2020-12-12,2020-12-13,2020-12-19
68,2020-12-13,2020-12-26,2020-12-27,2021-01-02
69,2020-12-27,2021-01-09,2021-01-10,2021-01-16
70,2021-01-10,2021-01-23,2021-01-24,2021-01-30
71,2021-01-24,2021-02-06,2021-02-07,2021-02-13
72,2021-02-07,2021-02-20,2021-02-21,2021-02-27
73,2021-02-21,2021-03-06,2021-03-07,2021-03-13
74,2021-03-07,2021-03-20,2021-03-21,2021-03-27
75,2021-03-21,2021-04-03,2021-04-04,2021-04-10
76,2021-04-04,2021-04-17,2021-04-18,2021-04-24
77,2021-04-18,2021-05-01,2021-05-02,2021-05-08
78,2021-05-02,2021-05-15,2021-05-16,2021-05-22
79,2021-05-16,2021-05-29,2021-05-30,2021-06-05
80,2021-05-30,2021-06-12,2021-06-13,2021-06-19
81,2021-06-13,2021-06-26,2021-06-27,2021-07-03
82,2021-06-27,2021-07-10,2021-07-11,2021-07-17
83,2021-07-11,2021-07-24,2021-07-25,2021-07-31
84,2021-07-25,2021-08-07,2021-08-08,2021-08-14
85,2021-08-08,2021-08-21,2021-08-22,2021-08-28
86,2021-08-22,2021-09-04,2021-09-05,2021-09-11
87,2021-09-05,2021-09-18,2021-09-19,2021-09-25
88,2021-09-19,2021-10-02,2021-10-03,2021-10-09
89,2021-10-03,2021-10-16,2021-10-17,2021-10-23
90,2021-10-17,2021-10-30,2021-10-31,2021-11-06
91,2021-10-31,2021-11-13,2021-11-14,2021-11-20
92,2021-11-14,2021-11-27,2021-11-28,2021-12-04
93,2021-11-28,2021-12-11,2021-12-12,2021-12-18
94,2021-12-12,2021-12-25,2021-12-26,2022-01-01
95,2021-12-26,2022-01-08,2022-01-09,2022-01-15
